koi_score,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,O/P
1,9.48803557,0.022344,3.20796,2.26,0.0853,793,93.59,24.81,2,5455,4.467,0.14,0.927,0.919,N
0.969,54.4183827,0.027954,3.02368,2.83,0.2734,443,9.11,77.9,2,5455,4.467,0.14,0.927,0.919,N
0,19.89913995,0.154046,7.29555,14.6,0.1419,638,39.3,53.5,1,5853,4.544,-0.18,0.868,0.961,N
0,1.736952453,0.387394,0.2208,33.46,0.0267,1395,891.96,3.278,1,5805,4.564,-0.52,0.791,0.836,N
1,2.525591777,0.024064,1.98635,2.75,0.0374,1406,926.16,8.75,1,6031,4.438,0.07,1.046,1.095,N
1,11.09432054,0.036779,0.67324,3.9,0.0992,835,114.81,16.36,3,6046,4.486,-0.08,0.972,1.053,N
1,4.13443512,0.026133,0.37377,2.77,0.0514,1160,427.65,6.96,3,6046,4.486,-0.08,0.972,1.053,N
0.992,2.56658897,0.014983,0.48909,1.59,0.0374,1360,807.74,5.54,3,6046,4.486,-0.08,0.972,1.053,N
0,7.36178958,0.183387,0.00485,39.21,0.082,1342,767.22,2.4,1,6227,3.986,0,1.958,1.358,N
1,16.06864674,0.062161,3.6659,5.76,0.1158,600,30.75,36.85,3,5031,4.485,0.16,0.848,0.801,N
0.811,2.470613377,0.123871,1.83538,13.04,0.0354,1339,761.46,8.3977,1,5820,4.457,-0.06,0.964,0.971,N
1,2.204735417,0.075522,0.37936,16.1,0.0376,2048,4148.92,4.602,1,6440,4.019,0.14,1.952,1.449,N
0.998,3.522498429,0.092086,0.65374,14.59,0.0473,1521,1264.67,7.541,1,6225,4.169,-0.04,1.451,1.132,N
1,3.709214104,0.010424,1.77451,1.16,0.0465,1206,500.46,10.888,2,5833,4.407,-0.04,1.022,0.974,N
0,11.52144606,1.625358,1.27376,150.51,0.0978,753,75.88,20.75,1,5795,4.554,-0.2,0.848,0.938,N
0,19.40393776,0.096729,0.03785,7.18,0.123,523,17.69,9.099,1,5043,4.591,-0.54,0.68,0.657,N
0,19.22138894,0.476633,1.57359,49.29,0.1417,698,55.97,31.323,2,6117,4.496,-0.22,0.947,1.025,N
0,16.46983774,0.092509,0.19353,7.94,0.1147,595,29.61,14.05,1,5152,4.517,-0.2,0.786,0.741,N
1,9.27358173,0.032563,1.93557,2.47,0.0759,649,41.85,20.65,1,4856,4.583,-0.3,0.696,0.676,N
1,6.02930329,0.038838,13.09803,2.85,0.0585,678,50.04,29.31,1,4537,4.648,0.21,0.672,0.761,N
0,2.696370652,0.017673,0.51471,1.58,0.0349,1066,305.34,5.827,1,4989,4.504,0.1,0.819,0.781,N
1,5.349553819,0.025706,1.73782,2.55,0.0563,919,168.99,13.8015,3,5185,4.44,0.16,0.91,0.831,N
0.98,3.94105221,0.017105,1.85636,1.7,0.046,1018,253.15,11.51,3,5185,4.44,0.16,0.91,0.831,N
0.971,8.10904807,0.013127,1.5302,1.3,0.0743,800,97.03,17.46,3,5185,4.44,0.16,0.91,0.831,N
1,21.67699193,0.032666,0.60007,2.95,0.1408,530,18.64,24.6,4,4954,4.5,0.18,0.828,0.791,N
1,4.99677968,0.030014,1.71827,2.78,0.0559,917,166.95,13.14,1,5339,4.552,0.18,0.847,0.931,N
1,4.280963604,0.025377,1.24482,2.3,0.0503,1012,247.87,10.64,1,5644,4.564,-0.14,0.831,0.928,N
0,1.50635409,0.049899,0.84722,4.53,0.025,1452,1054.12,4.67,1,5714,4.563,-0.2,0.831,0.926,N
0,670.645531,0.131705,0.02605,14.14,1.5155,196,0.35,85.24,1,5520,4.466,0.48,0.983,1.03,N
0,61.2563628,0.334628,0.12411,39.87,0.3137,505,15.43,29.1,1,6144,4.402,0,1.091,1.093,N
1,38.3775486,0.024901,1.40588,2.82,0.2163,529,18.53,47.8,1,5481,4.369,0.16,1.036,0.915,N
0.992,41.19725502,0.041693,3.9471,3.86,0.217,439,8.76,70.75,3,5031,4.485,0.16,0.848,0.801,N
1,6.252962249,0.028604,3.28707,2.65,0.0617,823,108.3,18.94,3,5031,4.485,0.16,0.848,0.801,N
1,16.01308419,0.034369,1.10942,3.1,0.1148,593,29.31,24.7,1,5015,4.499,0.1,0.826,0.785,N
1,32.62876672,0.03852,2.79093,3.36,0.1889,506,15.55,53.95,2,5586,4.56,-0.3,0.798,0.844,N
0.978,91.7732862,0.02432,1.60558,2.12,0.3764,359,3.92,89.4,2,5586,4.56,-0.3,0.798,0.844,N
1,4.959319244,0.103379,1.46169,12.21,0.0565,1103,349.4,12.386,1,5712,4.359,0.1,1.082,0.976,N
0,2.701287801,0.06584,0.02818,6.54,0.0365,1222,527.81,2.22,1,5550,4.468,-0.04,0.91,0.889,N
1,4.49876511,0.019817,0.67106,2.1,0.0542,1133,389.62,8.95,1,6075,4.486,-0.12,0.969,1.048,N
0,19.65120951,0.106953,0.67559,12.42,0.1433,730,67.03,23.98,1,6074,4.391,-0.12,1.063,1.014,N
1,5.412203927,0.024775,0.51087,2.94,0.0591,1093,337.68,9.25,3,5779,4.339,-0.06,1.087,0.941,N
0.998,41.43958662,0.048175,0.28189,5.5,0.2288,516,16.72,29.47,1,5468,4.367,0.22,1.046,0.93,N
1,8.35389523,0.029305,6.73215,2.52,0.0768,790,91.9,29.18,1,5592,4.582,-0.28,0.787,0.862,N
1,4.125543472,0.036796,0.67162,4.43,0.0529,1243,565.35,8.45,1,6174,4.417,0.1,1.103,1.162,N
1,2.816504904,0.117059,2.09079,12.21,0.0383,1219,521.13,9.571,1,5532,4.452,0.14,0.955,0.941,N
0,33.93373447,0.095386,0.0371,7.34,0.1881,430,8.11,13.12,1,5040,4.628,-0.24,0.705,0.782,N
1,3.689920099,0.018878,1.70798,1.89,0.0469,1147,408.99,10.71,1,5880,4.518,-0.06,0.917,1.01,N
1,4.431238488,0.02933,1.01996,3.25,0.0529,1104,351.23,10.19,3,5714,4.428,0.16,1.015,1.007,N
1,11.37936986,0.035628,0.63438,3.95,0.0993,806,99.68,16.31,3,5714,4.428,0.16,1.015,1.007,N
1,26.39432897,0.03681,2.93923,3.07,0.1635,489,13.49,47.7,1,5129,4.595,0.02,0.763,0.846,N
1,13.57078281,0.023908,0.49865,2.64,0.1096,785,89.61,16.93,4,5854,4.406,-0.12,1.012,0.951,N
1,7.12594387,0.01512,0.23879,1.79,0.0711,997,233.31,8.62,3,5779,4.339,-0.06,1.087,0.941,N
0.014,7.442652004,0.143936,7.48712,15.03,0.0742,967,206.78,27.99,1,6108,4.469,-0.3,0.956,0.981,N
1,16.38489988,0.029758,5.4538,2,0.1084,433,8.35,42.62,3,4126,4.661,0.04,0.615,0.633,N
1,7.8774163,0.03209,8.09685,2.16,0.0665,553,22.18,29.84,3,4126,4.661,0.04,0.615,0.633,N
1,36.4454001,0.029681,5.21237,1.99,0.1847,332,2.88,71.53,3,4126,4.661,0.04,0.615,0.633,N
1,3.728732147,0.068178,1.24118,6.02,0.0455,1023,258.34,9.7,1,5497,4.577,-0.1,0.809,0.907,N
0.999,40.4195037,0.088069,1.89549,7.51,0.2062,467,11.29,54.7,1,5446,4.507,-0.54,0.781,0.714,N
1,2.243380573,0.032248,1.50915,1.99,0.028,822,107.6,7.38,1,4149,4.698,-0.32,0.564,0.578,N
0,10.40599802,0.111248,0.38489,11.23,0.0855,833,113.94,13.012,1,5746,4.393,-0.54,0.924,0.77,N
1,2.337437946,0.027998,2.41093,2.34,0.0325,1070,311.16,8.86,2,5005,4.595,0.14,0.765,0.85,N
0.993,7.2406612,0.232818,8.66412,19.45,0.0692,734,68.63,28.8,2,5005,4.595,0.14,0.765,0.85,N
0.871,3.43591631,0.004612,0.47024,0.55,0.0437,1272,617.61,6.65,3,5779,4.339,-0.06,1.087,0.941,N
1,11.59822233,0.051287,3.14915,2.65,0.0798,396,5.82,28.2,1,3688,4.79,0,0.473,0.503,N
1,6.575315881,0.049152,0.64392,5.31,0.067,1015,251.38,11.37,1,5992,4.415,-0.32,0.989,0.927,N
1,7.275040844,0.051358,0.10578,4.86,0.0732,833,113.64,6.66,1,5485,4.556,0.21,0.867,0.986,N
1,19.27153892,0.031585,8.48241,1.93,0.1171,393,5.66,55.02,2,4077,4.702,-0.24,0.56,0.576,N
1,10.06524317,0.031153,18.09666,1.91,0.076,488,13.43,45.9,2,4077,4.702,-0.24,0.56,0.576,N
1,12.3935651,0.032536,0.27483,2.66,0.0983,677,49.68,13.07,1,5557,4.603,-0.4,0.75,0.832,N
